City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Nemuro,JP,55.83,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
371,Morehead,US,73.11,scattered clouds,37.2711,-87.1764,CCI Express Inn
375,Knysna,ZA,55.78,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
376,Buchanan,LR,76.6,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
377,Nikki,BJ,73.83,overcast clouds,9.9401,3.2108,Hotel John
379,Lorengau,PG,83.28,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
380,Sao Filipe,CV,79.39,few clouds,14.8961,-24.4956,Hotel Xaguate
381,Bambanglipuro,ID,79.02,overcast clouds,-7.95,110.2833,Puri Brata
382,Kavaratti,IN,82.2,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
383,Takoradi,GH,76.26,overcast clouds,4.8845,-1.7554,Raybow International Hotel
384,Ternate,ID,83.75,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
385,Umuarama,BR,71.04,overcast clouds,-23.7664,-53.325,HOTEL CAIUÁ
388,Kismayo,SO,77.0,overcast clouds,-0.3582,42.5454,Agan-Hotel
389,Kapit,MY,82.67,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
392,Carmo Do Rio Claro,BR,69.26,overcast clouds,-20.9719,-46.1189,Varandas da Montanha Hotel
393,Suicheng,CN,63.14,light rain,33.8963,117.9331,Junyue Hotel
397,Itajai,BR,70.2,broken clouds,-26.9078,-48.6619,Sandri Palace Hotel - Itajaí
398,Sudak,UA,51.01,overcast clouds,44.85,34.9667,Solari Beach
400,Papara,BR,79.68,overcast clouds,-3.9839,-38.7273,Romin
401,Choma,ZM,67.15,clear sky,-16.8065,26.9531,Kamuboola Lodge
404,Boyolangu,ID,78.19,broken clouds,-8.1181,111.8935,Yos ega cv
406,San Isidro,PE,61.25,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
410,Ornskoldsvik,SE,51.62,overcast clouds,63.2909,18.7153,ファーストホテル スタット
411,Sunbury,AU,58.62,scattered clouds,-37.5833,144.7333,Sunbury Motor Inn
412,Encheng,CN,83.88,few clouds,22.1839,112.3026,Pinghu Hostel
414,Port Augusta,AU,60.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
415,Tweed,CA,61.14,clear sky,44.4751,-77.3162,Stoco Lake Lodge
416,Mtwara,TZ,71.13,broken clouds,-10.2667,40.1833,TIL Hotels Mtwara
417,Mudon,MM,77.36,overcast clouds,16.2578,97.7164,Motel Mudon
418,Te Anau,NZ,53.19,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
421,San Fernando,PH,84.22,overcast clouds,15.0286,120.6898,Maharlika Hostel
424,Dalaba,GN,63.57,overcast clouds,10.7,-12.25,Hôtel Tangama
425,Matara,LK,77.95,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
426,Harindanga,IN,80.58,clear sky,22.0383,88.3214,Hasanur Builders
427,Port-Gentil,GA,77.04,overcast clouds,-0.7193,8.7815,Fengshui Residence
428,Grao Mogol,BR,72.46,broken clouds,-16.5594,-42.8897,Pousada do Eti
